id,twitterlink,caption,likes,shares,posttime,postdatetime,collecttime,videotranscriptionpath,videocontext,,politicalbias,misleading,criticism,videoaudiopairing,videocaptionpairing,audiocaptionparing,,label
22,https://x.com/__Inty__/status/1986076499548795011,"Trump just said: Xi Jinping manages 1.4 billion people, he's very tough and smart. When I met with Xi Jinping, the officials sitting next to him were all sitting rigidly, very afraid. I hope my cabinet can be like that too! Sitting straight and upright! I've never seen people so afraid."" JD, that's not it, he likes to interrupt, I hope JD can perform like that for a few days too.",1738,243,"6:21 AM · Nov 5, 2025",2025-11-05T14:21:51.000Z,2025/11/5 9:57,,,,,,,,,,,
23,https://x.com/KenyanSays/status/1986015963867762743,"Tanzanian President Samia Suluhu was hoping her dictatorial story wouldn’t spread beyond East Africa , but now, every major global news outlet and blog is running it!",1671,718,"2:21 AM · Nov 5, 2025",2025-11-05T10:21:18.000Z,2025/11/5 10:00,,,,,,,,,,,
24,https://x.com/DOGE__news/status/1985758943101272304,They are so lost.,5245,521,"9:20 AM · Nov 4, 2025",2025-11-04T17:20:00.000Z,2025/11/5 10:03,,,,,,,,,,,
25,https://x.com/TodaysNewsco/status/1985391213374034408,He’s being hailed worldwide — a true hero.,436,73,"8:58 AM · Nov 3, 2025",2025-11-03T16:58:46.000Z,2025/11/5 10:08,,,,,,,,,,,AI
26,https://x.com/SABCNews/status/1986081754612900153,"[WATCH] Crime Intelligence Head, Lieutenant General Dumisani Khumalo says, “As the whole world knows, I’ve been arrested and removed from some responsibilities, and I could not sign off on matters that were supposed to be signed by me.”",153,49,"6:42 AM · Nov 5, 2025",2025-11-05T14:42:44.000Z,2025/11/5 10:11,,,,,,,,,,,
27,https://x.com/YourAnonNews/status/1986105360206455137,"11-5-2025 Chicago. Roscoe Village. Rayito De Sol Daycare: ICE is disappearing teachers and staff at a daycare. So much for going after ""criminals"" and the ""worst of the worst."" Trump voters are responsible for this shit.",501,233,"8:16 AM · Nov 5, 2025",2025-11-05T16:16:32.000Z,2025/11/5 10:13,,,,,,,,,,,
28,https://x.com/xIsraelExposedx/status/1986113837016158566,"Here’s the Fox News report that describes how the Mossad (Israel’s intelligence arm) has infiltrated many parts of our government, and knew about 9/11 before it happened.",351,152,"8:50 AM · Nov 5, 2025",2025-11-05T16:50:13.000Z,2025/11/5 10:15,,,,,,,,,,,
29,https://x.com/Blizzard_Ent/status/1986118376859578441,"BlizzCon Tickets go on sale Nov. 7!🚨 We’re back in Anaheim, California, Sept. 12-13, 2026. Are you in? 👀For more details & pass info: http://blizz.ly/4ou0P3m",587,197,"9:08 AM · Nov 5, 2025",2025-11-05T17:08:15.000Z,2025/11/5 10:17,,,,,,,,,,,
30,https://x.com/PTIofficial/status/1986126368619262123,"Global Pakistan | English News | Top Stories | November 5, 2025 - “Asim Munir is the most tyrannical dictator in our history and is mentally unstable”, Imran Khan slams the General as Pakistan witnesses mass civilian killings and unprecedented fascism - “I prefer death over slavery; nations that embrace the principle of ‘freedom or death’ always attain true independence”, reiterates arbitrarily detained Imran Khan #GlobalPakistan #FreeImranKhan #FascismUnderAsimLaw",132,52,"9:40 AM · Nov 5, 2025",2025-11-05T17:40:01.000Z,2025/11/5 10:19,,,,,,,,,,,
31,https://x.com/mog_Russ/status/1986040307788685366,"🚨⚡️UNBELIEVABLE: The wife of the American journalist ""Charlie Kirk,"" ""Erica Kirk,"" is caught using artificial tears solution before stepping onto the TPUSA stage to make it look like she's crying! 😅💧",976,162,"3:58 AM · Nov 5, 2025",2025-11-05T11:58:02.000Z,2025/11/5 10:33,,,,,,,,,,,
